String ID,Dev Notes / Context,Character Limit,Text,
Lose Ammo,Difficulty Menu,32,Perte de munitions,
Lose Medication,Difficulty Menu,32,Perte de médicaments,
Lose Consumable,Difficulty Menu,32,Perte de consommables,
Lose Keys,Difficulty Menu,32,Perte de clés,
Lose Other Item,Difficulty Menu,32,Perte d'autres objets,
Perma Death,Difficulty Menu,32,Mort permanente,
Traders Money,Difficulty Menu,32,Argent des marchands,
Price: Weapons,Difficulty Menu,32,Prix : Armes,
Price: Armors,Difficulty Menu,32,Prix : Armures,
Price: Backpacks,Difficulty Menu,32,Prix : Sacs à dos,
Price: Ammo,Difficulty Menu,32,Prix : Munitions,
Price: Medications,Difficulty Menu,32,Prix : Médicaments,
Buy for,Trading menu,32,Acheter pour,
Next,"General Usage, go forward a step or menu",16,Suivant,
Back,"General Usage, go forward a step or menu",16,Retour,
Exit,"General Usage, go forward a step or menu",16,Quitter,
On,"General Usage, On as in enabled",16,Activé,
Off,"General Usage, Off as in disabled",16,Désactivé,
Go,"General Usage, select an option or go to a place",16,Aller,
Extras,"General Usage, indicating additional options",16,Extras,
Track,"General Usage, track a requirement or object",16,Suivre,
Reward,Quest Rewards,24,Récompense,
Exp,Quest Rewards,16,XP,
Rep,Quest Rewards,16,Rep,
Requirements,"General Usage, quest or crafting conditions",24,Prérequis,
General,"General Usage, meaning general usage",24,Général,
Deal,"General Usage, accepting a deal or offer",18,Marché conclu,
Forest,Map/Area Name,28,Forêt,
Makeshift camp,Map/Area Name,28,Camp improvisé,
Industrial area,Map/Area Name,28,Zone industrielle,
Swamp,Map/Area Name,28,Marais,
Mall,Map/Area Name,28,Centre commercial,
CNPP,Map/Area Name,28,CNPP,
Zakov,Map/Area Name,28,Zakov,
Rural area,Map/Area Name,28,Zone rurale,
Are you sure you want to scrap this item?,Scrap Menu,72,Êtes-vous sûr de vouloir recycler cet objet ?,
"No, keep it",Scrap Menu,32,"Non, garder",
"Yes, destroy it",Scrap Menu,32,"Oui, détruire",
Add Marker,Marker context menu,24,Ajouter marqueur,
Remove Marker,Marker context menu,24,Supprimer marqueur,
Medication,Crafting Menu,24,Médicaments,
Ammunition,Crafting Menu,24,Munitions,
Food,Crafting Menu,24,Nourriture,
Repair Kit,Crafting Menu,24,Kit de réparation,
Repair Gear,Crafting Menu,24,Réparer équipement,
Mod Weapons,Crafting Menu,24,Modifier armes,
Modules Tier 1,Crafting Menu,24,Modules Niveau 1,
Modules Tier 2,Crafting Menu,24,Modules Niveau 2,
Required Items,Crafting Menu,24,Objets requis,
No additional requirements,Crafting Menu,32,Aucun prérequis supplémentaire,
Craft,Crafting Menu,24,Fabriquer,
Inventory,Inventory Menu,32,Inventaire,
Ground,Inventory Menu,32,Sol,
Anti bleed gel,Medication Items,32,Gel anti-hémorragie,
Bandage,Medication Items,32,Bandage,
Sterilised bandage,Medication Items,32,Bandage stérilisé,
First aid medikit,Medication Items,32,Trousse de premiers soins,
Professional medikit,Medication Items,32,Trousse professionnelle,
Improvised medikit,Medication Items,32,Trousse improvisée,
Standard medikit,Medication Items,32,Trousse standard,
Modern medikit,Medication Items,32,Trousse moderne,
Medikit T-000,Medication Items,32,Trousse T-000,
Anti-rad pills,Medication Items,32,Pilules anti-radiation,
Assault,Loadouts,32,Assaut,
The tried and tested choice. A versatile loadout that's generally effective at most ranges but excels at none of them.,Loadouts - Description,160,"Le choix classique et éprouvé. Un équipement polyvalent efficace à la plupart des distances, mais excellent nulle part.",
Bruiser,Loadouts,32,Briseur,
Get in close and make them hurt! What it lacks in range it makes up for in close-range superiority.,Loadouts - Description,160,"Approchez et faites mal ! Faible en portée, mais supérieur au corps-à-corps.",
Marksman,Loadouts,32,Tireur d'élite,
They'll never see it coming. Scout out targets from afar and pick them off one-by-one. Just don't let them get too close.,Loadouts - Description,160,Ils ne verront rien venir. Repérez de loin et éliminez un par un. Ne les laissez pas approcher.,
Ranger,Loadouts,32,Rôdeur,
Precision on the move. Great at mid-to-long range engagements with the ability to outrange most guns. Keep a sidearm handy for when they're too close.,Loadouts - Description,160,"Précision en mouvement. Excellent à mi-longue portée, surpasse la plupart des armes. Gardez un pistolet pour le corps-à-corps.",
Tactical Operator,Loadouts,32,Opérateur tactique,
Who needs big guns? Reposition quickly and use your trusty pistol and starting flashbangs to come out on top.,Loadouts - Description,160,Qui a besoin de grosses armes ? Repositionnez-vous vite et utilisez pistolet + flashs pour dominer.,
Survivor,Loadouts,32,Survivant,
Someone packed light. This is going to be rough.,Loadouts - Description,160,Quelqu'un a voyagé léger. Ça va être dur.,
Backpack 1,Backpacks,48,Sac à dos 1,
Military standard backpack,Backpacks,48,Sac à dos militaire standard,
Military high capacity backpack,Backpacks,48,Sac à dos militaire grande capacité,
RTU Backpack,Backpacks,48,Sac RTU,
RTU-000 Backpack,Backpacks,48,Sac RTU-000,
SZX-100 Backpack,Backpacks,48,Sac SZX-100,
HFY Backpack,Backpacks,48,Sac HFY,
TQ001 Backpack,Backpacks,48,Sac TQ001,
EXE Backpack,Backpacks,48,Sac EXE,
ZXOP-500 Backpack,Backpacks,48,Sac ZXOP-500,
School bag,Backpacks,48,Sac d'école,
Santa's Backpack,Backpacks,48,Sac du Père Noël,
Backpack small,Backpacks,48,Petit sac à dos,
Class A documents,Documents,48,Documents classe A,
Class B documents,Documents,48,Documents classe B,
Class C documents,Documents,48,Documents classe C,
Class D documents,Documents,48,Documents classe D,
Secret documents. Hand these to a faction leader to improve your reputation.,Documents,96,Documents secrets. Remettez-les à un chef de faction pour améliorer votre réputation.,
Electrical Anomaly,NPCs,48,Anomalie électrique,
Fiery Anomaly,NPCs,48,Anomalie ardente,
Arman,NPCs,48,Arman,
Lazar,NPCs,48,Lazar,
Lazar's Guard,NPCs,48,Garde de Lazar,
Orel,NPCs,48,Orel,
Doctor,NPCs,48,Docteur,
Networker,NPCs,48,Réseauteur,
Barman,NPCs,48,Barman,
Big,NPCs,48,Big,
Blink,NPCs,48,Blink,
Boar,NPCs,48,Sanglier,
Mutated Boar,NPCs,48,Sanglier muté,
Soldier Gedeon Bogdanov,NPCs,48,Soldat Gedeon Bogdanov,
Conductor,NPCs,48,Conducteur,
Soldier Ermolai Vlasov,NPCs,48,Soldat Ermolai Vlasov,
Joel Emerson,NPCs,48,Joel Emerson,
Max Parker,NPCs,48,Max Parker,
Daniel Baker,NPCs,48,Daniel Baker,
Crow,NPCs,48,Corbeau,
The Networker,NPCs,48,Le Réseauteur,
Engineer Volkov,NPCs,48,Ingénieur Volkov,
Igor Kuzmin,NPCs,48,Igor Kuzmin,
Ghoul,NPCs,48,Goule,
Soldier Yakim Borisov,NPCs,48,Soldat Yakim Borisov,
Soldier Vadim Borisov,NPCs,48,Soldat Vadim Borisov,
Soldier Kodiak Vlasov,NPCs,48,Soldat Kodiak Vlasov,
The Guide,NPCs,48,Le Guide,
infestation,NPCs,48,infestation,
Mr. Junk,NPCs,48,M. Junk,
Kibba,NPCs,48,Kibba,
Reynard Shepard,NPCs,48,Reynard Shepard,
General Artemovich,NPCs,48,Général Artemovich,
Henry Davies,NPCs,48,Henry Davies,
The Doctor,NPCs,48,Le Docteur,
Dimitriy Alexeev,NPCs,48,Dimitriy Alexeev,
Crimson Assassin,NPCs,48,Assassin cramoisi,
Sergeant Desya Popo,NPCs,48,Sergent Desya Popo,
Rabbit,NPCs,48,Lapin,
Rat,NPCs,48,Rat,
Santa Claus,NPCs,48,Père Noël,
Chief Scientist Isaak Fedorov,NPCs,48,Scientifique en chef Isaak Fedorov,
Mutated Spider,NPCs,48,Araignée mutée,
Spine,NPCs,48,Épine,
Alexei Andreevich,NPCs,48,Alexei Andreevich,
Osip Andreevich,NPCs,48,Osip Andreevich,
Riley Evans,NPCs,48,Riley Evans,
Viktor Tutorialovich,NPCs,48,Viktor Tutorialovich,
Unknown,NPCs,48,Inconnu,
Wolf,NPCs,48,Loup,
Zombie,NPCs,48,Zombie,
Armor repair kit,Armor Repair,48,Kit de réparation d'armure,
"To use this repair kit put the weapon in the primary slot, right click the repair kit and use the green box.",Armor Repair Description,256,"Pour utiliser ce kit, mettez l'arme en emplacement principal, clic droit sur le kit et utilisez la zone verte.",
"To use this repair kit put the weapon in the primary slot, right click the repair kit and use the item.",Armor Repair Description,256,"Pour utiliser ce kit, mettez l'arme en principal, clic droit sur le kit et utilisez l'objet.",
"To use this repair kit equip the armor, right click the repair kit and use the item.",Armor Repair Description,256,"Pour utiliser ce kit, équipez l'armure, clic droit sur le kit et utilisez l'objet.",
Weapon repair kit,Weapon Repair,48,Kit de réparation d'arme,
Total Hunts,Stats,48,Chasses totales,
Hunts Survived,Stats,48,Chasses survécues,
Survival Rate %,Stats,48,Taux de survie %,
Best survival streak,Stats,48,Meilleure série de survie,
Current survival streak,Stats,48,Série de survie actuelle,
Total money received,Stats,48,Argent total reçu,
Most money from a single hunt,Stats,48,Plus gros gain d'une chasse,
Most exp from a single hunt,Stats,48,Plus d'XP d'une chasse,
Total human killed,Stats,48,Humains tués total,
Bandits,Stats,48,Bandits,
Green army,Stats,48,Armée verte,
Crimson Corporation,Stats/Factions,48,Corporation Cramoisie,
Scientist,Stats/Factions,48,Scientifique,
Loner,Stats/Factions,48,Solitaire,
???,Stats,48,???,
Boss: Lazar,Stats,48,Boss : Lazar,
Boss: Arman,Stats,48,Boss : Arman,
Boss: Orel,Stats,48,Boss : Orel,
Boss: Kibba,Stats,48,Boss : Kibba,
Total mutants killed,Stats,48,Mutants tués total,
Total chest opened,Stats,48,Coffres ouverts total,
Tool box,Stats,48,Boîte à outils,
Medication box,Stats,48,Boîte de médicaments,
Electronics box,Stats,48,Boîte d'électronique,
Bag,Stats,48,Sac,
Cabinet,Stats,48,Armoire,
Safe,Stats,48,Coffre-fort,
Wood box,Stats,48,Boîte en bois,
Hidden stash,Stats,48,Cachette cachée,
Weapon box,Stats,48,Boîte d'armes,
Attachment box,Stats,48,Boîte d'accessoires,
Vending machine,Stats,48,Distributeur,
Crystal,Stats,48,Cristal,
Air drop,Stats,48,Largage aérien,
Tikhon Romanov,Traders,48,Tikhon Romanov,
Medication And Food,Trader Pages,48,Médicaments et Nourriture,
Equipment,Trader Pages,48,Équipement,
Ammunition,Trader Pages,48,Munitions,
Pistol And SMG,Trader Pages,48,Pistolet et PM,
Shotgun,Trader Pages,48,Fusil à pompe,
Sniper Rifle And DMR,Trader Pages,48,Sniper et DMR,
Stock And Barrel,Trader Pages,48,Crosse et Canon,
Magazine,Trader Pages,48,Chargeur,
Handguard And Pistol Grip,Trader Pages,48,Garde-main et Poignée pistolet,
Attachment And Scope,Trader Pages,48,Accessoire et Lunette,
Building kit: ammo 1,Upgrade Base Kit,48,Kit construction : munitions 1,
Building kit: ammo 2,Upgrade Base Kit,48,Kit construction : munitions 2,
Building kit: Bedroom 1,Upgrade Base Kit,48,Kit construction : Chambre 1,
Building kit: Bedroom 2,Upgrade Base Kit,48,Kit construction : Chambre 2,
Building kit: forge 1,Upgrade Base Kit,48,Kit construction : Forge 1,
Building kit: forge 2,Upgrade Base Kit,48,Kit construction : Forge 2,
Building kit: garden 1,Upgrade Base Kit,48,Kit construction : Jardin 1,
Building kit: garden 2,Upgrade Base Kit,48,Kit construction : Jardin 2,
Building kit: gym 1,Upgrade Base Kit,48,Kit construction : Salle de gym 1,
Building kit: gym 2,Upgrade Base Kit,48,Kit construction : Salle de gym 2,
Building kit: Infirmary 1,Upgrade Base Kit,48,Kit construction : Infirmerie 1,
Building kit: Infirmary 2,Upgrade Base Kit,48,Kit construction : Infirmerie 2,
Building kit: kitchen 1,Upgrade Base Kit,48,Kit construction : Cuisine 1,
Building kit: kitchen 2,Upgrade Base Kit,48,Kit construction : Cuisine 2,
Building kit: Radio station 1,Upgrade Base Kit,48,Kit construction : Station radio 1,
Building kit: Radio station 2,Upgrade Base Kit,48,Kit construction : Station radio 2,
Building kit: recycling 1,Upgrade Base Kit,48,Kit construction : Recyclage 1,
Building kit: recycling 2,Upgrade Base Kit,48,Kit construction : Recyclage 2,
Building kit: scavenger 1,Upgrade Base Kit,48,Kit construction : Récupérateur 1,
Building kit: scavenger 2,Upgrade Base Kit,48,Kit construction : Récupérateur 2,
Building kit: shooting range 1,Upgrade Base Kit,48,Kit construction : Stand de tir 1,
Building kit: shooting range 2,Upgrade Base Kit,48,Kit construction : Stand de tir 2,
Building kit: storage 1,Upgrade Base Kit,48,Kit construction : Stockage 1,
Building kit: storage 2,Upgrade Base Kit,48,Kit construction : Stockage 2,
Building kit: workshop 1,Upgrade Base Kit,48,Kit construction : Atelier 1,
Building kit: workshop 2,Upgrade Base Kit,48,Kit construction : Atelier 2,
Foregrip,Weapon Mods,64,Poignée avant,
"Muzzle brake PPD-3C for 9x18, 9x19",Weapon Mods,64,"Frein de bouche PPD-3C pour 9x18, 9x19",
TR-15 WM stock War Machine,Weapon Mods,64,Crosse TR-15 WM War Machine,
TR-15 B mag magazine GEN T3 desert,Weapon Mods,64,Chargeur TR-15 B GEN T3 désert,
TR-15 pistol grip,Weapon Mods,64,Poignée pistolet TR-15,
Batko MKM handguard,Weapon Mods,64,Garde-main Batko MKM,
EC standard stock,Weapon Mods,64,Crosse standard EC,
VS-98 5 round magazine,Weapon Mods,64,Chargeur VS-98 5 coups,
EC standard handguard,Weapon Mods,64,Garde-main standard EC,
suppressor 762x25,Weapon Mods,64,Silencieux 7.62x25,
EC series long barrel,Weapon Mods,64,Canon long série EC,
Milosun red dot,Weapon Mods,64,Point rouge Milosun,
PRK standard handguard,Weapon Mods,64,Garde-main standard PRK,
F90 attachment rail,Weapon Mods,64,Rail accessoire F90,
NC 47 long barrel,Weapon Mods,64,Canon long NC 47,
Grusa double rail,Weapon Mods,64,Double rail Grusa,
G76 short barrel,Weapon Mods,64,Canon court G76,
Fanaz standard pistol grip,Weapon Mods,64,Poignée pistolet standard Fanaz,
Sha-12 long suppressor,Weapon Mods,64,Silencieux long Sha-12,
N4o1 standard stock,Weapon Mods,64,Crosse standard N4o1,
TR-15 black handguard,Weapon Mods,64,Garde-main TR-15 noir,
ZZ VEL magazine,Weapon Mods,64,Chargeur ZZ VEL,
EC wooden foregrip with rail,Weapon Mods,64,Poignée avant bois EC avec rail,
FRD wooden stock,Weapon Mods,64,Crosse bois FRD,
EC B mag magazine GEN T3 desert,Weapon Mods,64,Chargeur EC B GEN T3 désert,
MKM handguard,Weapon Mods,64,Garde-main MKM,
EC desert handguard,Weapon Mods,64,Garde-main EC désert,
Spec scope,Weapon Mods,64,Lunette Spec,
Skop standard handguard,Weapon Mods,64,Garde-main standard Skop,
Boulder standard grip,Weapon Mods,64,Poignée standard Boulder,
NB5 pistol grip,Weapon Mods,64,Poignée pistolet NB5,
N1o standard stock,Weapon Mods,64,Crosse standard N1o,
G76 standard stock,Weapon Mods,64,Crosse standard G76,
Fanaz 60-round magazine,Weapon Mods,64,Chargeur Fanaz 60 coups,
Muzzle brake 7.62x51 and 7.62x39 revenge,Weapon Mods,64,Frein de bouche 7.62x51 et 7.62x39 revenge,
TR-15 tactical stock grey,Weapon Mods,64,Crosse tactique TR-15 grise,
TR-15 standard magazine,Weapon Mods,64,Chargeur standard TR-15,
TR-15 desert pistol grip,Weapon Mods,64,Poignée pistolet TR-15 désert,
STV-40 15 round magazine,Weapon Mods,64,Chargeur STV-40 15 coups,
VS-98 10 round magazine,Weapon Mods,64,Chargeur VS-98 10 coups,
suppressor 5.7x28,Weapon Mods,64,Silencieux 5.7x28,
EC series short barrel,Weapon Mods,64,Canon court série EC,
Edatech dot,Weapon Mods,64,Point Edatech,
PRK standard grip,Weapon Mods,64,Poignée standard PRK,
NB5 stock,Weapon Mods,64,Crosse NB5,
NC 47 short barrel,Weapon Mods,64,Canon court NC 47,
Grusa single rail,Weapon Mods,64,Rail simple Grusa,
EDL 10 round magazine,Weapon Mods,64,Chargeur EDL 10 coups,
Sha-12 short suppressor,Weapon Mods,64,Silencieux court Sha-12,
Suppressor 5.56x45 CAK CBSS desert,Weapon Mods,64,Silencieux 5.56x45 CAK CBSS désert,
TR-15 Handguard Lone Moon,Weapon Mods,64,Garde-main TR-15 Lone Moon,
ZZ VEL handguard,Weapon Mods,64,Garde-main ZZ VEL,
EC wooden foregrip,Weapon Mods,64,Poignée avant bois EC,
FRD 20 round magazine,Weapon Mods,64,Chargeur FRD 20 coups,
EC standard magazine,Weapon Mods,64,Chargeur standard EC,
suppressor 9x19,Weapon Mods,64,Silencieux 9x19,
EC handguard,Weapon Mods,64,Garde-main EC,
CU scope,Weapon Mods,64,Lunette CU,
Skop standard pistol grip,Weapon Mods,64,Poignée pistolet standard Skop,
BBsH drum magazine,Weapon Mods,64,Chargeur tambour BBsH,
NB153 stock,Weapon Mods,64,Crosse NB153,
tactical green laser,Weapon Mods,64,Laser tactique vert,
G76 long handguard (desert),Weapon Mods,64,Garde-main long G76 (désert),
Fanaz 30-round magazine,Weapon Mods,64,Chargeur Fanaz 30 coups,
Muzzle brake 5.56x45 revenge,Weapon Mods,64,Frein de bouche 5.56x45 revenge,
TR-15 tactical stock desert,Weapon Mods,64,Crosse tactique TR-15 désert,
TR-15 iron sight,Weapon Mods,64,Mire métallique TR-15,
N4o1 standard pistol grip,Weapon Mods,64,Poignée pistolet standard N4o1,
STV-40 10 round magazine,Weapon Mods,64,Chargeur STV-40 10 coups,
EC stock,Weapon Mods,64,Crosse EC,
Stas 12 standard stock,Weapon Mods,64,Crosse standard Stas 12,
suppressor 5.45x39 TBS,Weapon Mods,64,Silencieux 5.45x39 TBS,
EC-101 tactical magazine,Weapon Mods,64,Chargeur tactique EC-101,
Alton scope,Weapon Mods,64,Lunette Alton,
Renindon 700 extended magazine,Weapon Mods,64,Chargeur étendu Renindon 700,
N1o/skop magazine 50 round,Weapon Mods,64,Chargeur N1o/skop 50 coups,
Grusa tactical suppressor,Weapon Mods,64,Silencieux tactique Grusa,
EDL 5 round magazine,Weapon Mods,64,Chargeur EDL 5 coups,
Sha-12 standard brake,Weapon Mods,64,Frein standard Sha-12,
Suppressor 5.56x45 CAK CBSS,Weapon Mods,64,Silencieux 5.56x45 CAK CBSS,
TR-15 desert handguard,Weapon Mods,64,Garde-main TR-15 désert,
ZZ VEL pistol grip,Weapon Mods,64,Poignée pistolet ZZ VEL,
EC-74u handguard,Weapon Mods,64,Garde-main EC-74u,
FRD 10 round magazine,Weapon Mods,64,Chargeur FRD 10 coups,
suppressor 9x18,Weapon Mods,64,Silencieux 9x18,
EC standard pistol grip,Weapon Mods,64,Poignée pistolet standard EC,
TSU scope,Weapon Mods,64,Lunette TSU,
Skop long barrel,Weapon Mods,64,Canon long Skop,
BBsH standard magazine,Weapon Mods,64,Chargeur standard BBsH,
tactical red laser,Weapon Mods,64,Laser tactique rouge,
G76 long handguard,Weapon Mods,64,Garde-main long G76,
Fanaz 20-round magazine,Weapon Mods,64,Chargeur Fanaz 20 coups,
Muzzle brake 5.56x45 TVS CQB,Weapon Mods,64,Frein de bouche 5.56x45 TVS CQB,
TR-15 stock KTR Green,Weapon Mods,64,Crosse TR-15 KTR Verte,
TR-15 Handguard TNR mt16,Weapon Mods,64,Garde-main TR-15 TNR mt16,
Sector 50 rounds magazine,Weapon Mods,64,Chargeur Sector 50 coups,
TR-15 muzzle brake,Weapon Mods,64,Frein de bouche TR-15,
STV-40 handguard,Weapon Mods,64,Garde-main STV-40,
Stas 12 attachment rail,Weapon Mods,64,Rail accessoire Stas 12,
suppressor 5.45x39 Hexaboom,Weapon Mods,64,Silencieux 5.45x39 Hexaboom,
EC-101 standard magazine,Weapon Mods,64,Chargeur standard EC-101,
Break scope,Weapon Mods,64,Lunette Break,
Renindon 700 clip magazine,Weapon Mods,64,Chargeur clip Renindon 700,
NB5 30 round magazine,Weapon Mods,64,Chargeur NB5 30 coups,
N1o/skop magazine 30 round,Weapon Mods,64,Chargeur N1o/skop 30 coups,
Grusa tactical barrel,Weapon Mods,64,Canon tactique Grusa,
EDL pistol grip,Weapon Mods,64,Poignée pistolet EDL,
Sha-12 standard sight,Weapon Mods,64,Mire standard Sha-12,
TR-15 B mag magazine GEN T3 Green,Weapon Mods,64,Chargeur TR-15 B GEN T3 Verte,
TR-15 LYUA-C Handguard,Weapon Mods,64,Garde-main TR-15 LYUA-C,
modern tactical torch,Weapon Mods,64,Lampe tactique moderne,
FRD advanced handguard,Weapon Mods,64,Garde-main avancé FRD,
EC B mag magazine GEN T3,Weapon Mods,64,Chargeur EC B GEN T3,
suppressor 762x54,Weapon Mods,64,Silencieux 7.62x54,
NTS red dot,Weapon Mods,64,Point rouge NTS,
Skop short barrel,Weapon Mods,64,Canon court Skop,
BB 91 30 round magazine,Weapon Mods,64,Chargeur BB 91 30 coups,
NB153 handguard,Weapon Mods,64,Garde-main NB153,
Grusa 50 round magazine,Weapon Mods,64,Chargeur Grusa 50 coups,
G76 short handguard (desert),Weapon Mods,64,Garde-main court G76 (désert),
Fanaz advanced rail,Weapon Mods,64,Rail avancé Fanaz,
Muzzle brake 5.45x39 ZPWW,Weapon Mods,64,Frein de bouche 5.45x39 ZPWW,
TR-15 stock KTR black,Weapon Mods,64,Crosse TR-15 KTR noire,
TR-15 Handguard KV-rail,Weapon Mods,64,Garde-main TR-15 KV-rail,
Sector 21 rounds magazine,Weapon Mods,64,Chargeur Sector 21 coups,
N4o1 long barrel,Weapon Mods,64,Canon long N4o1,
FRD grip stock,Weapon Mods,64,Crosse poignée FRD,
MKM 35 round magazine,Weapon Mods,64,Chargeur MKM 35 coups,
EC handguard Pentagoon,Weapon Mods,64,Garde-main EC Pentagoon,
suppressor 45,Weapon Mods,64,Silencieux .45,
Skop stock,Weapon Mods,64,Crosse Skop,
Boulder 6 round magazine,Weapon Mods,64,Chargeur Boulder 6 coups,
NB5 20 round magazine,Weapon Mods,64,Chargeur NB5 20 coups,
N1o/skop magazine 20 round,Weapon Mods,64,Chargeur N1o/skop 20 coups,
Grusa short barrel,Weapon Mods,64,Canon court Grusa,
"Muzzle brake annikilator for 5.56x45, 7.62x51, 9x19",Weapon Mods,64,"Frein annikilator pour 5.56x45, 7.62x51, 9x19",
Sha-12 20 round magazine,Weapon Mods,64,Chargeur Sha-12 20 coups,
TR-15 B mag magazine GEN T3,Weapon Mods,64,Chargeur TR-15 B GEN T3,
N4o1 standard handguard,Weapon Mods,64,Garde-main standard N4o1,
standard tactical torch,Weapon Mods,64,Lampe tactique standard,
EC Stock YUAS,Weapon Mods,64,Crosse EC YUAS,
FRD polymer handguard,Weapon Mods,64,Garde-main polymère FRD,
EC 60 round magazine,Weapon Mods,64,Chargeur EC 60 coups,
suppressor 7.62x51 PTS/UDK,Weapon Mods,64,Silencieux 7.62x51 PTS/UDK,
EC Tacto SAVV Pistol grip desert,Weapon Mods,64,Poignée pistolet EC Tacto SAVV désert,
Lion scope,Weapon Mods,64,Lunette Lion,
PRK Standard stock,Weapon Mods,64,Crosse standard PRK,
BB 91 20 round magazine,Weapon Mods,64,Chargeur BB 91 20 coups,
Nozin modern stock,Weapon Mods,64,Crosse moderne Nozin,
Grusa 30 round magazine,Weapon Mods,64,Chargeur Grusa 30 coups,
G76 short handguard,Weapon Mods,64,Garde-main court G76,
Fanaz attachment rail,Weapon Mods,64,Rail accessoire Fanaz,
Muzzle brake 5.45x39 PPD-3C,Weapon Mods,64,Frein de bouche 5.45x39 PPD-3C,
TR-15 stock KTR desert,Weapon Mods,64,Crosse TR-15 KTR désert,
TR-15 Handguard CAK XRU,Weapon Mods,64,Garde-main TR-15 CAK XRU,
N4o1 short barrel,Weapon Mods,64,Canon court N4o1,
FRD modern stock,Weapon Mods,64,Crosse moderne FRD,
EC74 iron sight,Weapon Mods,64,Mire EC74,
MKM 20 round magazine,Weapon Mods,64,Chargeur MKM 20 coups,
EC handguard Aggrexxor,Weapon Mods,64,Garde-main EC Aggrexxor,
suppressor 12x70,Weapon Mods,64,Silencieux 12x70,
Skop standard stock,Weapon Mods,64,Crosse standard Skop,
Boulder 12 round magazine,Weapon Mods,64,Chargeur Boulder 12 coups,
NB5 handguard,Weapon Mods,64,Garde-main NB5,
N1o modern stock,Weapon Mods,64,Crosse moderne N1o,
G76 advanced stock,Weapon Mods,64,Crosse avancée G76,
"Muzzle brake TVS CQB for 9x18, 9x19",Weapon Mods,64,"Frein TVS CQB pour 9x18, 9x19",
Sha-12 10 round magazine,Weapon Mods,64,Chargeur Sha-12 10 coups,
TR-15 extended magazine,Weapon Mods,64,Chargeur étendu TR-15,
TR-15 green pistol grip,Weapon Mods,64,Poignée pistolet TR-15 verte,
FRD wooden handguard,Weapon Mods,64,Garde-main bois FRD,
EC handguard Thukov Desert,Weapon Mods,64,Garde-main EC Thukov Désert,
suppressor 762x39,Weapon Mods,64,Silencieux 7.62x39,
EC Tacto SAVV Pistol grip,Weapon Mods,64,Poignée pistolet EC Tacto SAVV,
Snake sight,Weapon Mods,64,Mire Serpent,
PRK Drum magazine,Weapon Mods,64,Chargeur tambour PRK,
BB 91 handguard,Weapon Mods,64,Garde-main BB 91,
Nozin wooden stock,Weapon Mods,64,Crosse bois Nozin,
Grusa 20 round magazine,Weapon Mods,64,Chargeur Grusa 20 coups,
G76 long barrel,Weapon Mods,64,Canon long G76,
Muzzle brake 5.45x39 TVS CQB,Weapon Mods,64,Frein de bouche 5.45x39 TVS CQB,
TR-15 stock,Weapon Mods,64,Crosse TR-15,
TR-15 green handguard,Weapon Mods,64,Garde-main TR-15 vert,
ZZ VEL 30 round magazine,Weapon Mods,64,Chargeur ZZ VEL 30 coups,
ETS stock,Weapon Mods,64,Crosse ETS,
FRD polymer stock,Weapon Mods,64,Crosse polymère FRD,
